Season,Episode,Scenes per episode,Title,Title length,Abstract,Director,Rating
5,23,13,The One in Vegas: Part 1,24,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,Kevin Bright,8.8
5,24,15,The One in Vegas: Part 2,24,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,Kevin Bright,9.1
6,1,14,The One After Vegas,19,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,Kevin Bright,8.7
6,2,11,The One Where Ross Hugs Rachel,30,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,Gail Mancuso,8.2
6,3,14,The One with Ross's Denial,26,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,Gary Halvorson,8.2
6,4,18,The One Where Joey Loses His Insurance,38,Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students he puts on a fake English accent.,Gary Halvorson,8.5
6,5,13,The One with Joey's Porsche,27,Ross and Rachel try to get an annulment. Joey finds the keys to a porsche in Central Perk and Phoebe Monica and Chandler babysit the triplets.,Gary Halvorson,8.2
6,6,14,The One on the Last Night,25,On the last night before Chandler and Monica move in together Monica and Rachel argue and Chandler tries to give Joey money to help him pay the bills.,David Schwimmer,8.5
6,7,15,The One Where Phoebe Runs,25,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.,Gary Halvorson,8.4
6,8,17,The One with Ross' Teeth,24,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,Gary Halvorson,8.5
6,9,8,The One Where Ross Got High,27,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,Kevin Bright,9.2
6,10,12,The One with the Routine,24,On the set of Dick Clark's New Year's Rockin' Eve Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile Rachel Phoebe and Chandler look for Monica's Christmas presents.,Kevin Bright,8.6
6,11,13,The One with the Apothecary Table,33,Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile Rachel buys an apothecary table from a store that Phoebe hates.,Kevin Bright,8.1
6,12,13,The One with the Joke,21,Chandler and Ross argue over a joke. Meanwhile Joey reluctantly takes a waiter job at Central Perk and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.,Gary Halvorson,8.1
6,13,11,The One with Rachel's Sister,28,Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile Monica won't admit that she is sick.,Gary Halvorson,8.2
6,14,13,The One Where Chandler Can't Cry,32,Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry Monica tries to make it happen. The gang discovers that Phoebe's sister Ursula is a porn star and is using Phoebe's name.,Kevin Bright,8.6
6,15,12,The One That Could Have Been,28,When Rachel hears Barry and Mindy are getting divorced the gang wonder how different their lives could have been.,Michael Lembeck,8.5
6,16,17,The One That Could Have Been,28,The gang continue to think about how different their lives could have been.,Michael Lembeck,8.5
6,17,15,The One with Unagi,18,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,Gary Halvorson,9.1
6,18,20,The One Where Ross Dates a Student,34,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,Gary Halvorson,8.3
